Name,Value,Timestamp,Step
"train_mse",0.5068418979644775,1685974702716,1499
"epoch",4,1685974702716,1499
"loss",0.2216593325138092,1685974704662,1549
"train_mae",0.5230996012687683,1685974704662,1549
"train_mse",0.45074203610420227,1685974704662,1549
"epoch",4,1685974704662,1549
"val_loss",0.29032009840011597,1685974706470,1579
"val_mae",0.6128519177436829,1685974706470,1579
"val_mse",0.7142822742462158,1685974706470,1579
"epoch",4,1685974706470,1579
"loss",0.2882787585258484,1685974708059,1599
"train_mae",0.6091426610946655,1685974708059,1599
"train_mse",0.6884745359420776,1685974708059,1599
"epoch",5,1685974708059,1599
"loss",0.27243170142173767,1685974709974,1649
"train_mae",0.5711908340454102,1685974709974,1649
"train_mse",0.6640792489051819,1685974709974,1649
"epoch",5,1685974709974,1649
"loss",0.3613702058792114,1685974711888,1699
"train_mae",0.7202500700950623,1685974711888,1699
"train_mse",0.7923970222473145,1685974711888,1699
"epoch",5,1685974711888,1699
"loss",0.4615631699562073,1685974713767,1749
"train_mae",0.7833551168441772,1685974713767,1749
"train_mse",1.1246705055236816,1685974713767,1749
"epoch",5,1685974713767,1749
"loss",0.3664552569389343,1685974715788,1799
"train_mae",0.7267307043075562,1685974715788,1799
"train_mse",0.8880347013473511,1685974715788,1799
"epoch",5,1685974715788,1799
"loss",0.28525424003601074,1685974717594,1849
"train_mae",0.6071370840072632,1685974717594,1849
"train_mse",0.7601401209831238,1685974717594,1849
"epoch",5,1685974717594,1849
"val_loss",0.29450953006744385,1685974719951,1895
"val_mae",0.6166309714317322,1685974719951,1895
"val_mse",0.7259318828582764,1685974719951,1895
"epoch",5,1685974719951,1895
"loss",0.2061806321144104,1685974720959,1899
"train_mae",0.5221723318099976,1685974720959,1899
"train_mse",0.42766767740249634,1685974720959,1899
"epoch",6,1685974720959,1899
"loss",0.29826387763023376,1685974722821,1949
"train_mae",0.6202956438064575,1685974722821,1949
"train_mse",0.6691377758979797,1685974722821,1949
"epoch",6,1685974722821,1949
"loss",0.20074820518493652,1685974724708,1999
"train_mae",0.4998135566711426,1685974724708,1999
"train_mse",0.4710637927055359,1685974724708,1999
"epoch",6,1685974724708,1999
"loss",0.3877207338809967,1685974726796,2049
"train_mae",0.7135367393493652,1685974726796,2049
"train_mse",1.165228247642517,1685974726796,2049
"epoch",6,1685974726796,2049
"loss",0.14813865721225739,1685974728713,2099
"train_mae",0.4245508313179016,1685974728713,2099
"train_mse",0.30049648880958557,1685974728713,2099
"epoch",6,1685974728713,2099
"loss",0.3966955542564392,1685974730899,2149
"train_mae",0.6554862260818481,1685974730899,2149
"train_mse",1.833320140838623,1685974730899,2149
"epoch",6,1685974730899,2149
"loss",0.27760550379753113,1685974732918,2199
"train_mae",0.5849218368530273,1685974732918,2199
"train_mse",0.7018924951553345,1685974732918,2199
"epoch",6,1685974732918,2199
"val_loss",0.2851836383342743,1685974734211,2211
"val_mae",0.6121683120727539,1685974734211,2211
"val_mse",0.6915829181671143,1685974734211,2211
"epoch",6,1685974734211,2211
"loss",0.43199387192726135,1685974736664,2249
